city,travel_month,avg_temp_c,rainfall_mm,flight_cost_eur,accommodation_cost_eur,booking_advance_days
Berlin,1,1,42,95,55,45
Berlin,2,3,35,90,50,45
Berlin,3,8,38,105,60,30
Berlin,4,13,40,115,70,30
Berlin,5,18,55,130,85,30
Berlin,6,21,70,150,110,30
Berlin,7,23,80,160,120,15
Berlin,8,22,75,155,115,15
Berlin,9,18,45,125,85,30
Berlin,10,12,35,110,70,30
Berlin,11,6,50,100,60,45
Berlin,12,2,45,85,55,45
Amsterdam,1,4,65,100,85,45
Amsterdam,2,5,50,95,80,45
Amsterdam,3,8,55,110,90,30
Amsterdam,4,11,45,120,100,30
Amsterdam,5,16,55,140,130,30
Amsterdam,6,19,65,160,160,30
Amsterdam,7,21,75,170,180,15
Amsterdam,8,21,80,165,175,15
Amsterdam,9,17,70,135,140,30
Amsterdam,10,13,75,115,110,30
Amsterdam,11,8,80,105,95,45
Amsterdam,12,5,70,90,85,45
Barcelona,1,13,40,130,70,45
Barcelona,2,14,35,125,65,45
Barcelona,3,16,45,140,75,30
Barcelona,4,18,50,155,85,30
Barcelona,5,22,40,175,110,30
Barcelona,6,26,25,200,140,30
Barcelona,7,28,15,220,160,15
Barcelona,8,28,35,215,155,15
Barcelona,9,25,55,180,120,30
Barcelona,10,20,75,160,95,30
Barcelona,11,16,55,145,80,45
Barcelona,12,14,45,135,70,45
Prague,1,0,25,85,40,45
Prague,2,2,25,80,35,45
Prague,3,7,30,95,45,30
Prague,4,12,35,105,55,30
Prague,5,17,60,120,70,30
Prague,6,20,75,140,90,30
Prague,7,22,80,150,100,15
Prague,8,21,70,145,95,15
Prague,9,17,40,115,70,30
Prague,10,11,30,100,55,30
Prague,11,5,35,90,45,45
Prague,12,1,30,75,40,45
Lisbon,1,15,110,125,50,45
Lisbon,2,16,95,120,45,45
Lisbon,3,18,70,135,55,30
Lisbon,4,20,65,150,65,30
Lisbon,5,23,35,170,80,30
Lisbon,6,26,15,190,100,30
Lisbon,7,28,5,210,120,15
Lisbon,8,28,10,205,115,15
Lisbon,9,26,35,175,90,30
Lisbon,10,22,85,155,70,30
Lisbon,11,18,105,140,60,45
Lisbon,12,15,115,130,50,45
Vienna,1,1,40,120,65,45
Vienna,2,4,35,115,60,45
Vienna,3,9,45,130,70,30
Vienna,4,14,50,145,85,30
Vienna,5,19,70,165,110,30
Vienna,6,22,85,185,140,30
Vienna,7,24,75,195,150,15
Vienna,8,24,70,190,145,15
Vienna,9,19,55,160,115,30
Vienna,10,13,40,140,90,30
Vienna,11,7,50,125,75,45
Vienna,12,2,45,110,65,45
Rome,1,12,80,140,60,45
Rome,2,13,70,135,55,45
Rome,3,16,65,150,65,30
Rome,4,19,60,165,75,30
Rome,5,24,45,185,95,30
Rome,6,28,25,210,120,30
Rome,7,31,15,230,140,15
Rome,8,31,20,225,135,15
Rome,9,26,65,190,105,30
Rome,10,21,90,170,80,30
Rome,11,16,95,155,70,45
Rome,12,13,85,145,60,45
Paris,1,4,55,105,100,45
Paris,2,6,45,100,95,45
Paris,3,10,50,115,110,30
Paris,4,13,45,125,125,30
Paris,5,17,65,145,155,30
Paris,6,20,55,165,185,30
Paris,7,22,60,175,210,15
Paris,8,22,65,170,205,15
Paris,9,18,55,140,170,30
Paris,10,14,60,120,140,30
Paris,11,8,55,110,120,45
Paris,12,5,55,95,100,45
Copenhagen,1,1,45,140,120,45
Copenhagen,2,2,35,135,115,45
Copenhagen,3,5,40,150,130,30
Copenhagen,4,9,40,165,145,30
Copenhagen,5,15,45,185,170,30
Copenhagen,6,18,55,210,200,30
Copenhagen,7,20,70,220,220,15
Copenhagen,8,20,75,215,215,15
Copenhagen,9,16,65,180,185,30
Copenhagen,10,11,60,160,160,30
Copenhagen,11,6,55,145,140,45
Copenhagen,12,2,50,130,120,45
Stockholm,1,-2,40,160,100,45
Stockholm,2,-1,30,155,95,45
Stockholm,3,3,35,170,110,30
Stockholm,4,8,35,185,125,30
Stockholm,5,14,40,205,150,30
Stockholm,6,18,55,230,180,30
Stockholm,7,20,70,240,200,15
Stockholm,8,19,75,235,195,15
Stockholm,9,14,60,200,165,30
Stockholm,10,8,55,180,140,30
Stockholm,11,3,50,165,120,45
Stockholm,12,-1,45,150,100,45
Brussels,1,4,70,110,90,45
Brussels,2,5,55,105,85,45
Brussels,3,8,60,120,95,30
Brussels,4,11,50,135,105,30
Brussels,5,16,60,155,125,30
Brussels,6,19,70,175,150,30
Brussels,7,21,75,185,165,15
Brussels,8,21,80,180,160,15
Brussels,9,17,70,150,135,30
Brussels,10,13,75,130,115,30
Brussels,11,8,80,115,100,45
Brussels,12,5,75,100,90,45
Madrid,1,9,40,120,65,45
Madrid,2,11,35,115,60,45
Madrid,3,15,45,130,70,30
Madrid,4,18,50,145,80,30
Madrid,5,22,45,165,100,30
Madrid,6,27,25,190,125,30
Madrid,7,30,10,210,145,15
Madrid,8,30,15,205,140,15
Madrid,9,25,35,175,110,30
Madrid,10,19,60,155,85,30
Madrid,11,13,55,140,75,45
Madrid,12,10,45,125,65,45
Munich,1,0,45,130,70,45
Munich,2,3,40,125,65,45
Munich,3,8,50,140,75,30
Munich,4,13,55,155,90,30
Munich,5,18,75,175,115,30
Munich,6,21,95,200,145,30
Munich,7,23,100,210,160,15
Munich,8,22,85,205,155,15
Munich,9,18,65,170,125,30
Munich,10,12,50,150,100,30
Munich,11,6,55,135,80,45
Munich,12,1,50,120,70,45
Zurich,1,1,65,150,110,45
Zurich,2,4,55,145,105,45
Zurich,3,9,70,165,120,30
Zurich,4,13,80,180,140,30
Zurich,5,18,105,205,170,30
Zurich,6,21,120,235,205,30
Zurich,7,23,110,250,225,15
Zurich,8,22,100,245,220,15
Zurich,9,18,85,200,185,30
Zurich,10,13,70,175,155,30
Zurich,11,6,75,160,130,45
Zurich,12,2,70,145,110,45
Dublin,1,6,80,130,70,45
Dublin,2,7,60,125,65,45
Dublin,3,9,65,140,75,30
Dublin,4,11,55,155,85,30
Dublin,5,14,60,175,105,30
Dublin,6,17,65,200,130,30
Dublin,7,19,70,210,145,15
Dublin,8,18,75,205,140,15
Dublin,9,16,70,170,115,30
Dublin,10,12,85,150,95,30
Dublin,11,9,90,135,80,45
Dublin,12,7,85,120,70,45
Budapest,1,-1,35,90,35,45
Budapest,2,2,30,85,30,45
Budapest,3,7,40,100,40,30
Budapest,4,13,45,115,50,30
Budapest,5,18,65,135,65,30
Budapest,6,21,75,155,80,30
Budapest,7,23,60,165,90,15
Budapest,8,22,55,160,85,15
Budapest,9,18,45,130,65,30
Budapest,10,12,40,110,50,30
Budapest,11,6,45,95,40,45
Budapest,12,1,40,80,35,45
Warsaw,1,-2,30,95,40,45
Warsaw,2,0,25,90,35,45
Warsaw,3,5,35,105,45,30
Warsaw,4,11,40,120,55,30
Warsaw,5,17,55,140,70,30
Warsaw,6,20,70,160,85,30
Warsaw,7,22,85,170,95,15
Warsaw,8,21,75,165,90,15
Warsaw,9,16,50,135,70,30
Warsaw,10,10,40,115,55,30
Warsaw,11,4,45,100,45,45
Warsaw,12,-1,35,85,40,45
Athens,1,12,55,140,55,45
Athens,2,13,50,135,50,45
Athens,3,16,45,150,60,30
Athens,4,20,35,165,70,30
Athens,5,25,25,185,85,30
