city,travel_month,avg_temp_c,temp_max_c,temp_min_c,rainfall_mm,sunshine_hours,uv_index_max,wind_speed_max_kmh,precipitation_probability_max,sunshine_category,rain_category,wind_category,sunshine_score,comfort_score,last_updated
Stuttgart,1,2,5,-1,18,35.0,4,17,75,mixed,showery,breezy,42,0,2025-06-09T00:41:11.958495
Stuttgart,2,2,6,-2,15,35.0,3,16,50,mixed,showery,breezy,42,0,2025-06-09T00:41:12.572342
Stuttgart,3,6,10,1,17,35.0,2,16,75,mixed,showery,breezy,42,20,2025-06-09T00:41:13.174968
Stuttgart,4,10,14,5,17,35.0,2,15,75,mixed,showery,breezy,42,60,2025-06-09T00:41:13.765201
Stuttgart,5,14,18,9,20,35.0,1,14,75,mixed,showery,calm,42,270,2025-06-09T00:41:14.361625
Stuttgart,6,17,22,12,22,35.0,1,14,75,mixed,showery,calm,42,40,2025-06-09T00:41:14.945582
Stuttgart,7,19,23,14,18,35.0,1,14,75,mixed,showery,calm,42,56,2025-06-09T00:41:15.575126
Stuttgart,8,19,24,14,15,35.0,1,13,75,mixed,showery,calm,42,60,2025-06-09T00:41:16.164264
Stuttgart,9,16,21,12,15,35.0,2,13,75,mixed,showery,calm,42,33,2025-06-09T00:41:16.759206
Stuttgart,10,11,15,7,16,35.0,2,14,75,mixed,showery,calm,42,70,2025-06-09T00:41:17.334137
Stuttgart,11,5,8,2,18,35.0,3,15,75,mixed,showery,breezy,42,0,2025-06-09T00:41:17.915754
Stuttgart,12,1,4,-2,17,35.0,4,15,75,mixed,showery,breezy,42,0,2025-06-09T00:41:18.502645
Krasnodar,1,2,5,-2,12,35.0,4,18,50,mixed,showery,breezy,42,0,2025-06-09T00:41:19.148482
Krasnodar,2,2,6,-1,14,35.0,3,21,50,mixed,showery,breezy,42,0,2025-06-09T00:41:19.736042
Krasnodar,3,6,10,1,12,35.0,3,20,50,mixed,showery,breezy,42,20,2025-06-09T00:41:20.323087
Krasnodar,4,11,16,6,15,35.0,2,19,50,mixed,showery,breezy,42,80,2025-06-09T00:41:20.905050
Krasnodar,5,17,22,12,16,35.0,1,16,75,mixed,showery,breezy,42,40,2025-06-09T00:41:21.635880
Krasnodar,6,21,25,16,15,35.0,1,16,75,mixed,showery,breezy,42,78,2025-06-09T00:41:22.220313
Krasnodar,7,26,31,20,7,35.0,1,17,50,mixed,arid,breezy,42,55,2025-06-09T00:41:22.826373
Krasnodar,8,25,30,20,6,35.0,1,17,50,mixed,arid,breezy,42,60,2025-06-09T00:41:23.410444
Krasnodar,9,19,24,14,8,35.0,2,16,50,mixed,showery,breezy,42,60,2025-06-09T00:41:23.992423
Krasnodar,10,13,18,9,8,35.0,3,17,50,mixed,showery,breezy,42,270,2025-06-09T00:41:24.565606
Krasnodar,11,7,10,3,19,35.0,3,18,75,mixed,showery,breezy,42,20,2025-06-09T00:41:25.166123
Krasnodar,12,2,5,-1,19,35.0,4,19,75,mixed,showery,breezy,42,0,2025-06-09T00:41:25.744657
Thessaloniki,1,6,9,2,18,35.0,5,14,75,mixed,showery,calm,42,10,2025-06-09T00:41:26.409436
Thessaloniki,2,6,10,2,16,35.0,4,15,75,mixed,showery,breezy,42,20,2025-06-09T00:41:26.996617
Thessaloniki,3,10,14,6,13,35.0,3,15,50,mixed,showery,breezy,42,60,2025-06-09T00:41:27.636339
Thessaloniki,4,14,18,10,11,35.0,2,15,50,mixed,showery,breezy,42,260,2025-06-09T00:41:28.213024
Thessaloniki,5,20,24,15,7,35.0,2,14,50,mixed,arid,calm,42,67,2025-06-09T00:41:28.797053
Thessaloniki,6,24,28,19,7,35.0,2,15,50,mixed,arid,breezy,42,78,2025-06-09T00:41:29.378968
Thessaloniki,7,27,32,22,3,35.0,2,16,25,mixed,arid,breezy,42,40,2025-06-09T00:41:29.966995
Thessaloniki,8,27,31,22,2,35.0,2,15,25,mixed,arid,breezy,42,44,2025-06-09T00:41:30.581682
Thessaloniki,9,22,27,18,4,35.0,2,15,25,mixed,arid,breezy,42,89,2025-06-09T00:41:31.178546
Thessaloniki,10,17,21,13,14,35.0,3,13,50,mixed,showery,calm,42,38,2025-06-09T00:41:31.762850
Thessaloniki,11,11,14,7,20,35.0,4,13,75,mixed,showery,calm,42,60,2025-06-09T00:41:32.339753
Thessaloniki,12,6,10,3,17,35.0,5,13,75,mixed,showery,calm,42,20,2025-06-09T00:41:32.938087
Isle of Man,1,4,6,1,23,35.0,3,23,75,mixed,wet,breezy,42,0,2025-06-09T00:41:33.587980
Isle of Man,2,4,6,1,17,35.0,3,22,75,mixed,showery,breezy,42,0,2025-06-09T00:41:34.168704
Isle of Man,3,5,8,2,19,35.0,2,22,75,mixed,showery,breezy,42,0,2025-06-09T00:41:34.771442
Isle of Man,4,8,11,4,16,35.0,1,20,75,mixed,showery,breezy,42,30,2025-06-09T00:41:35.357100
Isle of Man,5,11,14,7,15,35.0,1,19,75,mixed,showery,breezy,42,60,2025-06-09T00:41:36.228289
Isle of Man,6,14,17,10,17,35.0,1,18,75,mixed,showery,breezy,42,90,2025-06-09T00:41:36.797126
Isle of Man,7,15,18,11,20,35.0,1,18,75,mixed,showery,breezy,42,250,2025-06-09T00:41:37.392430
Isle of Man,8,15,18,12,18,35.0,1,18,75,mixed,showery,breezy,42,240,2025-06-09T00:41:37.973999
Isle of Man,9,13,16,10,21,35.0,1,20,75,mixed,showery,breezy,42,80,2025-06-09T00:41:38.572472
Isle of Man,10,10,12,7,24,35.0,2,21,75,mixed,wet,breezy,42,40,2025-06-09T00:41:39.140069
Isle of Man,11,6,8,3,22,35.0,3,21,75,mixed,showery,breezy,42,0,2025-06-09T00:41:39.737858
Isle of Man,12,4,6,2,23,35.0,3,22,75,mixed,wet,breezy,42,0,2025-06-09T00:41:40.318303
Liverpool,1,5,7,3,23,35.0,3,31,75,mixed,wet,breezy,42,0,2025-06-09T00:41:40.979596
Liverpool,2,5,7,2,17,35.0,3,29,75,mixed,showery,breezy,42,0,2025-06-09T00:41:41.577139
Liverpool,3,6,9,4,18,35.0,2,29,75,mixed,showery,breezy,42,10,2025-06-09T00:41:42.197868
